ID,RAYON_CITY,RAYON,REPUB_KRAI,rayon_name,rayon,GOV_FIRE,g1_02,CENT_LAT,CENT_LON,govfire,GOV,govplus2,loggovplus2,GOV2,REB,rebplus2,logrebplus2,ELF,HET,POP,OIL,ELEVATION,RUSSIAN,FOREST,elf,num,polarize,Dominance,PROTEST,BLOODFEUD,EVNT_CNT,POP2001_02,EVNT1000,CHECH_DV,URB_AREA,PCT_URB,ELEV_MEAN,SH_RUSSIAN,PCT_FRST,DIST_TOHWY,LNEVNT1000
1,Kirovskiy (Stav),1,Stavropol Krai,,,,,4871117.56,397133.71,,24,26,1.414973348,24,2,4,0.602059991,0.309098,0.427652251,181,0.756097561,286.3414634,0.926829268,0,0.309098,12,0.550230776,2,0,0,2,67317,0.0297,0,27220000,1.95,319.93,82.95,0.222717149,32.394,-3.2264
2,Kirovskiy (N.Oss),2,North Ossetia,,,,,4799219.26,439643.7,,1,3,0.477121255,1,0,2,0.301029996,0.191925,0.377249673,336.75,1,355.375,0,0.25,0.191925,8,0,3,0,0,3,26571,0.1129,0,23290000,5.69,423.63,7.18,29.05660377,5.397,-2.09638
3,Krasnogvardeyskiy (Stav),3,Stavropol Krai,,,,,5078347.44,235304.66,,14,16,1.204119983,14,13,15,1.176091259,0.142115,0.576372627,63.81481481,0.62962963,80.2962963,1,0,0.142115,12,0.290425076,3,2,0,0,42008,0,0,76350000,3.38,92.9,92.63,5.191256831,117.53,-4.60517
4,Achkhoy-Martanovskiy,4,Chechnya,,,,,4768740.34,526179.94,,610,612,2.786751422,61,148,150,2.176091259,0.019859,0.906656494,199.2878788,0.893939394,965.0909091,0.106060606,0.424242424,0.019859,7,0,3,13,5,594,81401,7.2972,1,21710000,1.97,875.1,0,59.94358251,20.848,1.98886
5,Adyge-Khabalskiy,5,Karachaevo-Cherkessia,,,,,4918196.17,248126.49,,0,2,0.301029996,0,0,2,0.301029996,0.756542,0.316989515,170.6296296,0.851851852,477.7037037,0.148148148,0,0.756542,8,0,1,0,0,3,28426,0.1055,0,12520000,2.39,518.48,14.62,0.900900901,30.89,-2.15848
6,Agulskiy,6,Dagestan,,,,,4632629.23,713779.61,,0,2,0.301029996,0,0,2,0.301029996,0.139326,0.333721948,100.6666667,0,1989.142857,0,0.285714286,0.139326,10,0,3,0,0,0,11290,0,0,0,0,2349.91,0.06,16.22137405,121.477,-4.60517
7,Akhtynskiy,7,Dagestan,,,,,4584103.07,717524.08,,1,3,0.477121255,1,0,2,0.301029996,0.039335,0.60830788,153.5384615,0,1669.923077,0,0.230769231,0.039335,11,0,3,0,0,1,31592,0.0317,0,0,0,2322.08,1.64,11.77266576,170.13,-3.17725
8,Akhvakhskiy,8,Dagestan,,,,,4712457.09,609898.88,,1,3,0.477121255,1,0,2,0.301029996,0.00399,1.278491328,81.68181818,0,1658.181818,0,0.090909091,0.00399,7,0,3,0,0,1,20373,0.0491,0,0,0,2020.68,0.02,23.80952381,76.385,-2.82852
9,Akushinskiy,9,Dagestan,,,,,4675933.31,694663.32,,2,4,0.602059991,2,0,2,0.301029996,0.076872,0.474872784,81.43820225,0.02247191,1596.011236,0,0.011235955,0.076872,9,0,3,0,0,2,52455,0.0381,0,0,0,1786.81,0.04,7.469879518,78.587,-3.03447
10,Alagirskiy,10,North Ossetia,,,,,4741715.68,427222.92,,9,11,1.041392685,9,4,6,0.77815125,0.157527,0.418806118,42.69369369,0,1552.036036,0.036036036,0.207207207,0.157527,8,0,3,3,0,59,38581,1.5293,0,12670000,0.63,2022.89,5.81,33.23076923,50.552,0.43133
11,Aleksandrovskiy,11,Stavropol Krai,,,,,4953625.83,342449.46,,26,28,1.447158031,26,11,13,1.113943352,0.222826,0.517380758,88.57446809,0.957446809,353.0638298,1,0.021276596,0.222826,12,0.417433776,3,3,0,1,50978,0.0196,0,45930000,2.24,372.93,88.13,1.134644478,40.836,-3.51998
12,Andropovskiy,12,Stavropol Krai,,,,,4940618.45,301133.39,,30,32,1.505149978,30,5,7,0.84509804,0.426204,0.355815102,62.80701754,0.771929825,429.245614,0.947368421,0,0.426204,12,0.62427304,2,2,0,1,35670,0.028,0,32600000,1.38,441.23,75.25,0.45751634,14.878,-3.27017
13,Apanasenkovskiy,13,Stavropol Krai,,,,,5081397.8,375512.95,,0,2,0.301029996,0,0,2,0.301029996,0.214088,0.355092314,65.8,0.8,66.52,1,0,0.214088,12,0.396550856,3,0,0,0,36038,0,0,61780000,1.72,71.66,88.52,0.640204866,168.557,-4.60517
